InSeason,SeasonNumber,ApostleNumber,ApostleName,BirthDate,CallDate,DeathDate,CoverageStartDate,CoverageEndDate,ApostlePortraitURL,StoryImageURL,StoryDate,StoryDescription,ThreadReaderURL,ThreadLink
0,8,80,Bruce R. McConkie,1915-07-29,1972-10-12,1985-04-19,2023-05-28,2023-06-03,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Bruce_R._McConkie2.jpg/250px-Bruce_R._McConkie2.jpg,No Image,2023-05-28,"""Assignments were made by ability""",https://threadreaderapp.com/thread/1662946503210725376.html,https://twitter.com/actsofapostles_/status/1662946503210725376
0,8,80,Bruce R. McConkie,1915-07-29,1972-10-12,1985-04-19,2023-05-28,2023-06-03,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Bruce_R._McConkie2.jpg/250px-Bruce_R._McConkie2.jpg,No Image,2023-05-28,A blessing that was not too strong,https://threadreaderapp.com/thread/1662889015111204864.html,https://twitter.com/actsofapostles_/status/1662889015111204864
0,8,80,Bruce R. McConkie,1915-07-29,1972-10-12,1985-04-19,2023-05-28,2023-06-03,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Bruce_R._McConkie2.jpg/250px-Bruce_R._McConkie2.jpg,No Image,2023-05-28,On the shoulders of spiritual giants,https://threadreaderapp.com/thread/1662877927980306432.html,https://twitter.com/actsofapostles_/status/1662877927980306432
0,8,80,Bruce R. McConkie,1915-07-29,1972-10-12,1985-04-19,2023-05-28,2023-06-03,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Bruce_R._McConkie2.jpg/250px-Bruce_R._McConkie2.jpg,No Image,2023-05-28,"The voice repeated, ""Get up and run!""",https://threadreaderapp.com/thread/1662884472952623104.html,https://twitter.com/actsofapostles_/status/1662884472952623104
0,8,80,Bruce R. McConkie,1915-07-29,1972-10-12,1985-04-19,2023-05-28,2023-06-03,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Bruce_R._McConkie2.jpg/250px-Bruce_R._McConkie2.jpg,No Image,2023-05-29,A KGB dossier on Bruce R. McConkie,https://threadreaderapp.com/thread/1662974533660450817.html,https://twitter.com/actsofapostles_/status/1662974533660450817
0,8,80,Bruce R. McConkie,1915-07-29,1972-10-12,1985-04-19,2023-05-28,2023-06-03,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Bruce_R._McConkie2.jpg/250px-Bruce_R._McConkie2.jpg,No Image,2023-05-29,Called as a Seventy from the press table,https://threadreaderapp.com/thread/1663030719030136833.html,https://twitter.com/actsofapostles_/status/1663030719030136833
0,8,80,Bruce R. McConkie,1915-07-29,1972-10-12,1985-04-19,2023-05-28,2023-06-03,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Bruce_R._McConkie2.jpg/250px-Bruce_R._McConkie2.jpg,No Image,2023-05-29,Every minute was captured and put to use,https://threadreaderapp.com/thread/1663186849991655425.html,https://twitter.com/actsofapostles_/status/1663186849991655425
0,8,80,Bruce R. McConkie,1915-07-29,1972-10-12,1985-04-19,2023-05-28,2023-06-03,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Bruce_R._McConkie2.jpg/250px-Bruce_R._McConkie2.jpg,No Image,2023-05-29,The hardest is always the one coming up,https://threadreaderapp.com/thread/1663201055671468033.html,https://twitter.com/actsofapostles_/status/1663201055671468033
0,8,80,Bruce R. McConkie,1915-07-29,1972-10-12,1985-04-19,2023-05-28,2023-06-03,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Bruce_R._McConkie2.jpg/250px-Bruce_R._McConkie2.jpg,No Image,2023-05-29,The need for continual reliance on the Lord,https://threadreaderapp.com/thread/1663227456688652289.html,https://twitter.com/actsofapostles_/status/1663227456688652289
0,8,80,Bruce R. McConkie,1915-07-29,1972-10-12,1985-04-19,2023-05-28,2023-06-03,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Bruce_R._McConkie2.jpg/250px-Bruce_R._McConkie2.jpg,No Image,2023-05-30,"""Great men climb mountains""",https://threadreaderapp.com/thread/1663359531932598273.html,https://twitter.com/actsofapostles_/status/1663359531932598273
